GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
2hkHQgJcHB7xhhzYCk3ti3,IfcCovering,gevelisolatie,,,ABB916AA-4E64-4B1F-BAEB-F6232E0F7B03,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
3sorX0hcb4kPZ40d648mq4,IfcCovering,gevelisolatie,,,F6CB5840-AE69-44B9-98C4-027184230D04,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
3zzV$_q8T7qxl9dxu$HNCP,IfcCovering,gevelisolatie,,,FDF5FFFE-D087-47D3-BBC9-9FBE3F457319,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
3eHPhK$CT0gfRbBtf5g6Q0,IfcCovering,gevelisolatie,,,E8459AD4-FCC7-40AA-96E5-2F7A45A86680,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
3q3WciIXv9KPoKwtHXCYkU,IfcCovering,gevelisolatie,,,F40E09AC-4A1E-4951-9C94-EB7461322B9E,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
3OtXPqbEbEiv7pCs7YCRS9,IfcCovering,gevelisolatie,,,D8DE1674-94E9-4EB3-91F3-3361E231B709,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
1N731qefH9nvvAQ4rFN0NA,IfcCovering,gevelisolatie,,,571C3074-A294-49C7-9E4A-684D4F5C05CA,IFC_isolatie_115mm_glaswol 115,01 eerste verdieping,True
1aEoeCjSbABuQvNYMa99bT,IfcCovering,zinkwerk,,,643B2A0C-B5C9-4A2F-86B9-5E25A424995D,99 Brandwering,01 eerste verdieping,True
21OBDgLiTCGuO7opZNZj72,IfcCovering,zinkwerk,,,8160B36A-56C7-4C43-8607-CB38D78ED1C2,99 Brandwering,01 eerste verdieping,True
0HWABp_y95G8vFX_TpmXk4,IfcCovering,zinkwerk,,,1180A2F3-FBC2-4540-8E4F-87E773C21B84,99 Brandwering,01 eerste verdieping,True
23ABJ7kb59FO558BUKqnas,IfcCovering,zinkwerk,,,8328B4C7-BA51-493D-8145-20B794D31936,99 Brandwering,01 eerste verdieping,True
0OVDxvBbnAReyyc2pv8qjC,IfcCovering,zinkwerk,,,187CDEF9-2E5C-4A6E-8F3C-982CF9234B4C,99 Brandwering,01 eerste verdieping,True
0zpM1D6AzCyu5y1VzqYKkr,IfcCovering,zinkwerk,,,3DCD604D-18AF-4CF3-817C-05FF74894BB5,99 Brandwering,01 eerste verdieping,True
1lBGR9DFf9g8lO__WK3pc$,IfcCovering,zinkwerk,,,6F2D06C9-34FA-49A8-8BD8-FBE8140F39BF,99 Brandwering,01 eerste verdieping,True
0qswTtaZb1oPP54vRhc7oe,IfcCovering,zinkwerk,,,34DBA777-9239-41C9-9645-1396EB987CA8,99 Brandwering,01 eerste verdieping,True
3FaI05M7X5kv3wBk4KGBvW,IfcCovering,zinkwerk,,,CF912005-5878-45BB-90FA-2EE11440BE60,99 Brandwering,01 eerste verdieping,True
3dtbPxib96nvx2p80Me_ML,IfcCovering,zinkwerk,,,E7DE567B-B252-46C7-9EC2-CC8016A3E595,99 Brandwering,01 eerste verdieping,True
3Nw1PVtJHCcOZMHQML5DhR,IfcCovering,zinkwerk,,,D7E8165F-DD34-4C99-88D6-45A59514DADB,99 Brandwering,01 eerste verdieping,True
1jqZ4MyC10kABpPIccsYPc,IfcCovering,zinkwerk,,,6DD23116-F0C0-40B8-A2F3-6529A6DA2666,99 Brandwering,01 eerste verdieping,True
28El0FIUjEvgO9hdNx8YuW,IfcCovering,zinkwerk,,,883AF00F-49EB-4EE6-A609-AE75FB222E20,99 Brandwering,01 eerste verdieping,True
2ErwQIq_bAg8fKmz8mLaAR,IfcCovering,vensterbank,,,8ED7A692-D3E9-4AA8-8A54-C3D23056429B,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
3ADxZ3cgzEeuvON05saOSG,IfcCovering,vensterbank,,,CA37B8C3-9AAF-4EA3-8E58-5C0176918710,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
0phwV4rLn6nPanDypaFHCr,IfcCovering,vensterbank,,,33AFA7C4-D55C-46C5-9931-37CCE43D1335,IFC_Holonite_vensterbank_300x20 300 x 20,01 eerste verdieping,True
1LODwiyWT2UwMzhuYIlYa2,IfcCovering,muurafdekker,,,5560DEAC-F207-427B-A5BD-AF8892BE2902,IFC_Roval_muurafdekker_type_H1 350 x 60,01 eerste verdieping,False
3cFaeOo3n2YeWSJjavwqxj,IfcCovering,waterslag,,,E63E4A18-C83C-428A-881C-4ED939EB4EED,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
1ZcdqEadr88v99jOk0sNh$,IfcCovering,waterslag,,,639A7D0E-927D-4823-9249-B58B80D97AFF,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
1B3L37O9nFrBtLIVKIGucO,IfcCovering,waterslag,,,4B0D50C7-609C-4FD4-BDD5-49F512438998,IFC_Roval_waterslag_type_Elegance_15gr/138 138 x 79,01 eerste verdieping,True
