BuildingGUID,GUID,IfcClass,Nl-sfb,Material,TaskID,Resource,TaskName,TaskStart,TaskFinish,Element on time or not,IfcClass_Clean,PlannedDurationDays,BIM_IfcClass,BIM_ElementName,BIM_Description,BIM_ObjectType,BIM_Tag,BIM_TypeName,BIM_BuildingStorey,BIM_HasGeometry,BIM_IfcClass_Clean,Class_Exact_Match,Class_Relationship,Canonical_IfcClass
2CKEPCy9T9zQMKorZoDrni,2yudVvusXBjwBK3hgLvUi8,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#479345),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#479345),,,2AB9F117-8F43-4A82-A6DC-66412DD0BE45,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3g4QlkdmLCZgDmW6AUrdzw,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#479583),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#479583),,,0D8F0482-6E1E-4898-8148-E0A1716AC559,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3g4QlkdmLCZgDmW6AUrdzw,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#479583),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#479583),,,0D8F0482-6E1E-4898-8148-E0A1716AC559,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1fHG_ii4n2pRrwduW1UELL,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#487343),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#487343),,,643B2A0C-B5C9-4A2F-86B9-5E25A424995D,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,1fHG_ii4n2pRrwduW1UELL,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#487343),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#487343),,,643B2A0C-B5C9-4A2F-86B9-5E25A424995D,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3bjzHk9DP1iBfUsdJhlrYV,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#487581),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#487581),,,8160B36A-56C7-4C43-8607-CB38D78ED1C2,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,3bjzHk9DP1iBfUsdJhlrYV,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#487581),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#487581),,,8160B36A-56C7-4C43-8607-CB38D78ED1C2,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,12b11r68DFSfbdlcosDAmo,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#487819),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#487819),,,1180A2F3-FBC2-4540-8E4F-87E773C21B84,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,12b11r68DFSfbdlcosDAmo,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01150,zinkwerk_(#487819),Zinken bekleding dakkapelen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#487819),,,1180A2F3-FBC2-4540-8E4F-87E773C21B84,,Storey-1,True,covering,True,Exact match,covering
2CKEPCy9T9zQMKorZoDrni,0PrLZhp21BWQOt7ZlSIgwv,IfcCovering,4110_buitenwandafwerkingen,99 Brandwering,ST01170,zinkwerk_(#487985),Dakramen,2015-08-28,2015-09-03,On time,covering,7.0,IfcCovering,zinkwerk_(#487985),,,8328B4C7-BA51-493D-8145-20B794D31936,,Storey-1,True,covering,True,Exact match,covering
