GUID,IfcClass,ElementName,Description,ObjectType,Tag,TypeName,BuildingStorey,HasGeometry
2vDGAiCMz1EgMACLLW94wj,IfcBeam,fund_strook_(#12513),,,F3E081DE-E590-43CC-93BE-FC8699597B96,,Storey-1,True
1Mf8LrlnDF0xbzfYfBIyj6,IfcBeam,fund_opstort_(#2967),,,814E89F2-F0DA-41B6-A1EC-ED85EB65114B,,Storey-1,True
3GQbn3RLT7AR7GWCGsipbZ,IfcBeam,liftputwand_(#5207),,,594A1514-425B-4AAF-9A34-F2ADC59FF6DF,,Storey-1,True
09pyb7tm5As9QgZNoN_nNK,IfcBeam,fund_opstort_(#4748),,,E8B3AA68-959F-4690-B4F0-557BEC59CF5A,,Storey-1,True
1rWCWMKXXDR9pJJ453yeU9,IfcBeam,fund_opstort_(#3426),,,E90D95ED-394C-4D03-98DD-4B2A64DE8AC2,,Storey-1,True
3hyBmIA9vBAAbnFe7JERse,IfcBeam,fund_strook_(#12347),,,941D36EF-B3D2-4F21-B0A0-5263E936B889,,Storey-1,True
1R8wvSBdj0nxw$u3qzf7DP,IfcBeam,fund_opstort_(#9767),,,4A6CCBA4-B347-4C9E-BA23-5E9725E55330,,Storey-1,True
1uEzbhHRDA98l7q7eTPW6W,IfcBeam,fund_strook_(#3776),,,CE363996-FEEC-4016-BC91-6BF8C27FC0E7,,Storey-1,True
3PWGV6t999FwJIpAuRAXEk,IfcBeam,fund_opstort_(#4112),,,9367F7EB-FD8D-4BC4-8827-9D5925D8406E,,Storey-1,True
36OAgfylj3i8B$_ULHcQpS,IfcBeam,fund_strook_(#11380),,,600D20DB-0BB0-4996-960B-83E80D136ED5,,Storey-1,True
2BvIWOGA18JuJGl8rylXFV,IfcBeam,liftputwand_(#5543),,,3D317621-1DA2-43FF-B86A-2EEC10AD0A3C,,Storey-1,True
16FVmRsQb85vEIXQ_DW6Lp,IfcBeam,liftputwand_(#478),,,F970A63C-4FA7-4EAD-A58E-49318D2746E2,,Storey-1,True
3e$rrJY7D1Rhx1v_XSSOhd,IfcBeam,fund_strook_(#10265),,,63A924BB-B7AB-4B2C-BEE0-502CA7D305F7,,Storey-1,True
3mVuN59AD7ZOorZUKionH9,IfcBeam,fund_strook_(#9103),,,C9CD81F1-98AC-4D17-A176-ABD42A9A99A9,,Storey-1,True
0oKN4Spcn5Bfa3Lqj0jpzQ,IfcBeam,fund_opstort_(#2299),,,A69960C0-1F6C-4886-82DD-EB63D43BECDB,,Storey-1,True
2KczfJ5o5FKxUSb6pascny,IfcBeam,fund_opstort_(#7105),,,A903F69F-2FC8-46E2-A2DD-3F259260EE50,,Storey-1,True
15fhpEUvT7HuRQ7K9Gnzeq,IfcBeam,fund_opstort_(#6939),,,F23513C8-1DC3-4640-BFEB-2F7696BFD1F7,,Storey-1,True
0NZhTGcY5A1wAScTLireiF,IfcBeam,fund_opstort_(#2133),,,2743F79C-87DA-40BA-9CB6-2A55FDEC0AE3,,Storey-1,True
0PeQJ7XO5FCez3vnkBjyBq,IfcBeam,fund_opstort_(#3094),,,720C4510-82A1-4AC5-B76C-4D8AFA69F9EE,,Storey-1,True
0vDPjO0AzA2RjW5bZfipZc,IfcBeam,fund_strook_(#5991),,,004A5632-487C-4F73-BA73-1C18FC54B670,,Storey-1,True
2zgzThNuf0e8VhKUE39TOO,IfcBeam,fund_opstort_(#7441),,,405BB86B-75D2-4955-A010-BDB54BD2F603,,Storey-1,True
0TS1pLnKD4PAKmrsFzF4KF,IfcBeam,fund_opstort_(#8605),,,940FB38F-58CC-4862-8FF4-41DA1B6B4550,,Storey-1,True
2TjPlUWNf9yOVI0lQMOSNy,IfcBeam,fund_strook_(#12767),,,CBEDF6B1-A041-4860-BA78-CBF2337C144D,,Storey-1,True
1olNo2H6j18AMsF6vNwyOJ,IfcBeam,fund_strook_(#7939),,,DA4EC50D-1732-43D2-A99E-ED1848FA31ED,,Storey-1,True
0OrpQP1yf3kPlM24ca1IEy,IfcBeam,fund_opstort_(#2635),,,9A54BEB8-8CDA-4EC3-839C-BAC77EF3CC26,,Storey-1,True
3chAZP2urEphTNqEJGiwF1,IfcBeam,fund_opstort_(#23464),,,9C5D123F-33D6-40DD-A117-9EFA780C7CDB,,Storey-1,True
0VHbn4bVf7iOqD4KIp1EkT,IfcBeam,fund_opstort_(#2801),,,24837996-FC1B-41FF-A5B6-1B4D03930880,,Storey-1,True
1lZhfwQ$j6Th34b5Sidges,IfcBeam,fund_opstort_(#6603),,,2D5F8E3F-B3ED-4D0A-87B2-6FBCD277DAC5,,Storey-1,True
397U34bofE49REjBsbvQCB,IfcBeam,fund_strook_(#10711),,,4A2B3D74-66CA-43C3-8720-1C841ED7529A,,Storey-1,True
2IGwSZD4XD0v_U7kK$pAw4,IfcBeam,fund_opstort_(#2465),,,A2A02A54-C6D8-4A3A-9DCA-2A899B597A5F,,Storey-1,True
1naZcReNz7PvhQAmj6Jq3I,IfcBeam,liftputwand_(#4278),,,37AFC68F-B598-4415-8327-54CC03796CD4,,Storey-1,True
3P7_03M9j4qfTpY82oA7qG,IfcBeam,fund_strook_(#11761),,,FAAE016E-6FBF-49E1-9E68-E86DCB6DFB9C,,Storey-1,True
18d3mlRdjCdQZN5$wTakyV,IfcBeam,fund_opstort_(#9601),,,A95A5151-C3AD-4A37-BB04-1346BE211093,,Storey-1,True
2OwZUPMe9A_OUbNu4p$vK$,IfcBeam,fund_opstort_(#1655),,,F532C2D4-52BD-4DEB-A968-E83455A20922,,Storey-1,True
28n152n4TDhfCgPSt939HS,IfcBeam,fund_strook_(#10099),,,E47BB9B2-63EB-43DE-9CCB-8FD214ADF34A,,Storey-1,True
3ezuEHz6XFHwANFIAgNksw,IfcBeam,fund_opstort_(#13353),,,7494D760-4705-4381-8E6C-E2C6B7676A1F,,Storey-1,True
1CJwrAhq9Ed94DRX3trP2o,IfcBeam,liftputwand_(#6773),,,2F9BFE7E-5D1B-4CFB-B2DF-A66F6BF49714,,Storey-1,True
2Y$eh0ohrDEepO4_LPdoEr,IfcBeam,liftputwand_(#1963),,,58C7C77D-0F14-4ABC-827C-A61431FB0ECA,,Storey-1,True
0B0Q1ghLnCxvbIfuSwz9wK,IfcBeam,liftputwand_(#9435),,,161A9943-5C3D-4BAA-BCC2-139A2B2035F5,,Storey-1,True
3SLFVhErbETg7vkVqhJmtW,IfcBeam,fund_strook_(#11507),,,B2C7512B-6E2A-4529-8667-39899690A435,,Storey-1,True
2wgL5LHzz2E8w8G68rTVPh,IfcBeam,fund_strook_(#11927),,,55048273-9117-4CEC-8F98-CDCD5C503179,,Storey-1,True
2F6KORhx58_911OMinsiC1,IfcBeam,fund_strook_(#12054),,,D5AA5851-82D5-430F-A860-BBA3F59F7DED,,Storey-1,True
2rxEfS5c1BRBMAjC9Weumf,IfcBeam,liftputwand_(#1315),,,8C7F5CC1-D0DC-44B2-AF6D-39891BF012B7,,Storey-1,True
3Sbe78uxbEwRPG8jsMr$cF,IfcBeam,fund_opstort_(#979),,,515DE8D5-D351-4259-A49C-213552CE8F35,,Storey-1,True
06pbOYRBH47ggM7v8Z4QIY,IfcBeam,fund_opstort_(#9933),,,D6CE5B5C-4C72-4A3C-841C-CA01B82BD980,,Storey-1,True
0_I_33wYPDQ82UT6BIK_07,IfcBeam,fund_opstort_(#8123),,,365FF6D8-399D-4705-885A-2068B3D9FBAD,,Storey-1,True
3ZlvAOowH1V8p2VDDOxbzq,IfcBeam,fund_opstort_(#1793),,,84C40414-91CE-4FA1-B7C3-91771CE93B78,,Storey-1,True
